disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1258,,,,,9574047.21,1178287.29,8395759.92,2020-07-21T00:00:00.000Z,,2546649,de6f338830b3938f4997c6a187da9d78,2020-07-21T11:55:48.121Z,5aa2d583cb4f0f7020b17e82
1268,,,,,721979.29,43929.52,655398.71,2020-07-21T00:00:00.000Z,,120352,6679fee8a9945c16e999953252512fe3,2020-07-21T11:55:26.027Z,5aa2d583cb4f0f7020b17e87
1241,,,,,,,,,,302741,cdb3511d86a8653c09a3f67907919323,2020-06-10T05:42:28.848Z,5aa2d583cb4f0f7020b17e8c
1265,,,,,6970269.48,2590192.47,4349918.09,2020-07-21T00:00:00.000Z,,1319820,efb0388f7ae4e21a249013e29bbe43ed,2020-07-21T11:55:26.023Z,5aa2d583cb4f0f7020b17e91
1247,,,,,611049043.19,210172543.92,400876499.27,2020-07-21T00:00:00.000Z,,220712228,6bdabac33da050175755007f8cfcec20,2020-07-21T11:55:48.115Z,5aa2d583cb4f0f7020b17e96
1272,,,,,40588743.22,29892462.64,10342694.45,2020-07-21T00:00:00.000Z,,12665798,ac6c4be5e57c0577c72c07b3faaf8a29,2020-07-21T11:55:26.057Z,5aa2d583cb4f0f7020b17e9b
1243,,,,,3647893.61,2212669.86,1435223.75,2020-07-21T00:00:00.000Z,,580602,162c640f8ec61c0917361f1922ab138a,2020-07-21T11:55:48.107Z,5aa2d583cb4f0f7020b17e7f
1239,,,,,8225378.98,4219882.47,3961713.95,2020-07-21T00:00:00.000Z,,3887494,169f0cda058391ac4bf4564be79a15b3,2020-07-21T11:55:25.980Z,5aa2d583cb4f0f7020b17e84
1278,,,,,501235.42,20563.57,469397.28,2020-07-21T00:00:00.000Z,,113954,c850f72bd800e48a6528e27e96d61176,2020-07-21T11:55:26.073Z,5aa2d583cb4f0f7020b17e89
1250,,,,,33075261.2,6459569.14,26615692.06,2020-07-21T00:00:00.000Z,,6689836,5c4e190f5ca7249dd2e2ee3c89b7e3b2,2020-07-21T11:55:48.134Z,5aa2d583cb4f0f7020b17e8e
1275,,,,,5322523.58,2426827.39,2821849.55,2020-07-21T00:00:00.000Z,,853245,602f46d81b49bd68bbc623d7d088b455,2020-07-21T11:55:26.071Z,5aa2d583cb4f0f7020b17e93
1257,,,,,33279674.22,9756691.41,23183628.92,2020-07-21T00:00:00.000Z,,18906913,ffc4b1718d1f06ebb632064077f728e9,2020-07-21T11:55:26.000Z,5aa2d583cb4f0f7020b17e98
1285,,,,,518798.92,331705.11,182722.6,2020-07-21T00:00:00.000Z,,86350,f12ea972b29252280e7e6d38e98c06c5,2020-07-21T11:55:26.081Z,5aa2d583cb4f0f7020b17e9d
1310,,,,,4680340.29,1386231.25,3245139.39,2020-07-21T00:00:00.000Z,,250405,4823b6912c57c9a1d03d3b73121e0382,2020-07-21T11:55:26.173Z,5aa2d583cb4f0f7020b17ea2
1335,,,,,31020492.12,4053927.92,26379603.98,2020-07-21T00:00:00.000Z,,2766765,052c80151f5b2d5ea2d28c4e818dfed3,2020-07-21T11:55:26.338Z,5aa2d583cb4f0f7020b17ea7
1282,,,,,10955690.74,1814403.47,8883933.06,2020-07-21T00:00:00.000Z,,2636499,101a314c5caa43a84236d0db4ed3f540,2020-07-21T11:55:26.077Z,5aa2d583cb4f0f7020b17eac
1256,,,,,,,,,,645473,7d53eee15b53d2fbe396168dae9130a1,2020-06-10T04:55:39.758Z,5aa2d583cb4f0f7020b17eb1
1263,,,,,1579219.78,113278.63,1465941.15,2020-07-21T00:00:00.000Z,,235411,ebf9acb9791402d47983d759e2399477,2020-07-21T11:55:48.140Z,5aa2d583cb4f0f7020b17e83
1273,,,,,3144097.57,2597610.34,546487.23,2020-07-21T00:00:00.000Z,,1764725,314aa5b7cab51f0e6868c52bc2627dba,2020-07-21T11:55:26.059Z,5aa2d583cb4f0f7020b17e88
1245,,,,,9530146.71,1888561.16,7641585.55,2020-07-21T00:00:00.000Z,,2204299,ba61f80476cacd3b973294b87d802f64,2020-07-21T11:55:48.113Z,5aa2d583cb4f0f7020b17e8d
1270,,,,,,,,,,319783,246e7e7c0c22e30052c3017a7cbad2ab,2020-06-02T13:22:16.209Z,5aa2d583cb4f0f7020b17e92
1252,,,,,2022392.91,174832,1847560.91,2020-07-21T00:00:00.000Z,,286725,3ec85ba78c1d4f7dead8ae92821694e0,2020-07-21T11:55:48.138Z,5aa2d583cb4f0f7020b17e97
1277,,,,,8534710.43,1862546.18,6422742.96,2020-07-21T00:00:00.000Z,,2449736,0468067d0ffcaa26b5b6a70265638517,2020-07-21T11:55:26.068Z,5aa2d583cb4f0f7020b17e9c
1305,,,,,594693.82,73108.21,521585.61,2020-07-21T00:00:00.000Z,,11345,1c422203b77caec28a03c491d9c88062,2020-07-21T11:55:26.154Z,5aa2d583cb4f0f7020b17ea1
1248,,,,,8565996.79,2159881.74,6406115.05,2020-07-21T00:00:00.000Z,,996958,1cb9206b50e14379c70802b2704df780,2020-07-21T11:55:48.128Z,5aa2d583cb4f0f7020b17e80
1244,,,,,31274411.72,29707892.15,1566519.57,2020-07-21T00:00:00.000Z,,2801027,28479cc2677b9a504515c5cff82ff455,2020-07-21T11:55:48.109Z,5aa2d583cb4f0f7020b17e85
1283,,,,,11679939.6,3332720.86,8260184.09,2020-07-21T00:00:00.000Z,,2769144,225c30803b26fd9d365354920ffaaf9f,2020-07-21T11:55:26.088Z,5aa2d583cb4f0f7020b17e8a
1255,,,,,6183513.64,1401615.75,4781897.89,2020-07-21T00:00:00.000Z,,844215,d494705dff49227c8f216917560dca84,2020-07-21T11:55:48.199Z,5aa2d583cb4f0f7020b17e8f
1280,,,,,801099.77,621063.41,162372.31,2020-07-21T00:00:00.000Z,,1152684,6ce5c18e2a74e008379902ba4038cfaa,2020-07-21T11:55:26.079Z,5aa2d583cb4f0f7020b17e94
1262,,,,,15377362.84,4437805.23,10793815.08,2020-07-21T00:00:00.000Z,,1494499,55f8872f44685fec24807a8463291749,2020-07-21T11:55:26.021Z,5aa2d583cb4f0f7020b17e99
1290,,,,,,,,,,200782,19a6b9001365416e48e57ffd21caeb07,2020-06-02T13:22:16.332Z,5aa2d583cb4f0f7020b17e9e
1315,,,,,2043473.79,1256195.35,847752.31,2020-07-21T00:00:00.000Z,,662973,24f458cf7223af59391c9bc8a826ae19,2020-07-21T11:55:26.190Z,5aa2d583cb4f0f7020b17ea3
1340,,,,,,,,,,311009,0a48bd6d3ddf8e12d565d9f787d2e5d0,2020-06-02T13:22:16.494Z,5aa2d583cb4f0f7020b17ea8
1287,,,,,3704291.45,2689766.86,906909.42,2020-07-21T00:00:00.000Z,,3182052,3d9972eaff76c31e3cd05e567957d25c,2020-07-21T11:55:26.090Z,5aa2d583cb4f0f7020b17ead
1261,,,,,5735788.21,2349946.79,3385841.42,2020-07-21T00:00:00.000Z,,1096729,cfe6e74b9183e53b8cadf26ea540126a,2020-07-21T11:55:26.016Z,5aa2d583cb4f0f7020b17eb2
1253,,,,,12908455.45,494514.78,12413940.67,2020-07-21T00:00:00.000Z,,2116175,def2762b9116c5df5c5830cf20d70ae0,2020-07-21T11:55:48.142Z,5aa2d583cb4f0f7020b17e81
1249,,,,,112018620.58,44714863.89,67303756.69,2020-07-21T00:00:00.000Z,,15005046,ef2bf0bd9781a94691159a799ea532c6,2020-07-21T11:55:48.130Z,5aa2d583cb4f0f7020b17e86
1288,,,,,7734889.99,727111.27,6928401.83,2020-07-21T00:00:00.000Z,,1359545,7c99e71a4a3f3220729354971962a285,2020-07-21T11:55:26.061Z,5aa2d583cb4f0f7020b17e8b
1260,,,,,9863594,3896685.75,5833055.72,2020-07-21T00:00:00.000Z,,1875688,83b34f56d3d1c1e922ec7544a37ab2ea,2020-07-21T11:55:26.012Z,5aa2d583cb4f0f7020b17e90
1240,,,,,25888496.72,16028598.82,9859897.9,2020-07-21T00:00:00.000Z,,3479614,f309e615f8cbf2205fb2b47be9871e1f,2020-07-21T11:55:48.101Z,5aa2d583cb4f0f7020b17e95
1267,,,,,,,,,,2167204,525c526046e952d29a7d9dd7350e1720,2020-06-02T13:22:16.200Z,5aa2d583cb4f0f7020b17e9a
1295,,,,,38703382.74,17818465.28,20285139.28,2020-07-21T00:00:00.000Z,,9436261,aacccb0f83e68ecfbfc52f73974191d6,2020-07-21T11:55:26.139Z,5aa2d583cb4f0f7020b17e9f
1320,,,,,2820111.53,245508.68,2514961.75,2020-07-21T00:00:00.000Z,,420140,2391bfe6b9a5eec3f94de46a90e11ad7,2020-07-21T11:55:26.293Z,5aa2d583cb4f0f7020b17ea4
1345,,,,,288481152.48,6632491.52,279844097.69,2020-07-21T00:00:00.000Z,,76656943,903e03d3e25fd2e05d09310259b5552b,2020-07-21T11:55:26.354Z,5aa2d583cb4f0f7020b17ea9
1242,,,,,12933681.07,10532227.75,2401453.32,2020-07-21T00:00:00.000Z,,1514019,8d62251ce5bd4661cc65b34f0d6016e5,2020-07-21T11:55:48.105Z,5aa2d583cb4f0f7020b17eae
1266,,,,,7265330.4,4572203.46,2603875.52,2020-07-21T00:00:00.000Z,,3634575,17141e9aaf737967939ef82e2892d9f6,2020-07-21T11:55:26.025Z,5aa2d583cb4f0f7020b17eb3
1380,,,,,9040908.02,6082907.61,2964651.36,2020-07-21T00:00:00.000Z,,14135775,ca0eea44bb0282aaf638cc57176683ea,2020-07-21T11:55:26.466Z,5aa2d583cb4f0f7020b17eb8
1302,,,,,1875868.51,590763.4,1224126.36,2020-07-21T00:00:00.000Z,,107462,210903d4c6a798fad1c37e1cb5841f05,2020-07-21T11:55:26.158Z,5aa2d583cb4f0f7020b17ebd
1327,,,,,619592.3,274870.5,335828.76,2020-07-21T00:00:00.000Z,,343409,65739ae44f1fce395c94bc2c1d92d5e5,2020-07-21T11:55:26.340Z,5aa2d583cb4f0f7020b17ec2
1352,,,,,1085125.11,1085125.11,,2020-07-21T00:00:00.000Z,,192419,e8ed2cd2847d0ebbb93bf28d6fae92aa,2020-07-21T11:55:26.363Z,5aa2d583cb4f0f7020b17ec7
1377,,,,,741930.23,9998.01,730615.2,2020-07-21T00:00:00.000Z,,113141,36d4ee2671a176f41453c57f1bf29c9e,2020-07-21T11:55:26.459Z,5aa2d583cb4f0f7020b17ecc
1402,,,,,45020240.33,19181030.22,25287060.53,2020-07-21T00:00:00.000Z,,6185233,639639ab1df6cb7e2814d52386fd4a89,2020-07-21T11:55:26.519Z,5aa2d583cb4f0f7020b17ed1
1427,,,,,2193357.34,245479.87,1899767.97,2020-07-21T00:00:00.000Z,,1810224,77748a3283dcc8926ac316b7c0799ffc,2020-07-21T11:55:26.589Z,5aa2d583cb4f0f7020b17ed6
1313,,,,,8726361.63,3164581.04,5580429.08,2020-07-21T00:00:00.000Z,,1311471,c265901a65d0c6802fc6dd432ef284f1,2020-07-21T11:55:26.186Z,5aa2d583cb4f0f7020b17edb
1338,,,,,297203.25,294142.3,3060.95,2020-07-21T00:00:00.000Z,,45256,d022f5fb5b1a027dc4bf01603c19e59d,2020-07-21T11:55:26.345Z,5aa2d583cb4f0f7020b17ee0
1363,,,,,3019659.14,103814.9,2934328.57,2020-07-21T00:00:00.000Z,,431125,8ff9a2590814f83fe557ecd608e1cb3e,2020-07-21T11:55:26.380Z,5aa2d583cb4f0f7020b17ee5
1370,,,,,36227572.27,8928827.59,27261029.27,2020-07-21T00:00:00.000Z,,5117141,8cfc455002465e99f5289aee4f0f15d9,2020-07-21T11:55:26.390Z,5aa2d583cb4f0f7020b17eb6
1330,,,,,1779885.95,156784.46,1615308.59,2020-07-21T00:00:00.000Z,,232618,50374252a268503d42c94021758607cf,2020-07-21T11:55:26.329Z,5aa2d583cb4f0f7020b17ea6
1292,,,,,298105794.06,143602692.89,150485207.39,2020-07-21T00:00:00.000Z,,67665966,a8a3f3ba96f2d4740435d0d995613a07,2020-07-21T11:55:26.098Z,5aa2d583cb4f0f7020b17ebb
1355,,,,,160002351.14,59324006.19,99573522.52,2020-07-21T00:00:00.000Z,,23968328,57b93ec46e77a92a3d1b8953f46855db,2020-07-21T11:55:26.374Z,5aa2d583cb4f0f7020b17eab
1251,,,,,26156383.53,13194349,12962034.53,2020-07-21T00:00:00.000Z,,13298291,f08730351b3d22f2acde64e12d6f737e,2020-07-21T11:55:48.136Z,5aa2d583cb4f0f7020b17eb0
1317,,,,,3394920.15,1502165.83,1892754.32,2020-07-21T00:00:00.000Z,,438084,13faa3871ec86513c9dfb18f8e8fd35a,2020-07-21T11:55:26.195Z,5aa2d583cb4f0f7020b17ec0
1365,,,,,2855252.63,22820.59,2871984.6,2020-07-21T00:00:00.000Z,,417677,f5d2500d1e6a62157f4c9204191bc8a5,2020-07-21T11:55:26.381Z,5aa2d583cb4f0f7020b17eb5
1342,,,,,,,,,,1000930,0406374fba47d21c13862d80039cf1b9,2020-06-02T13:22:16.500Z,5aa2d583cb4f0f7020b17ec5
1367,,,,,8618000.36,3601067.84,4689231.55,2020-07-21T00:00:00.000Z,,1876460,eb56ede3c8b80a776ed618602d17f88e,2020-07-21T11:55:26.387Z,5aa2d583cb4f0f7020b17eca
1300,,,,,34309695.49,16704381.41,17070710.07,2020-07-21T00:00:00.000Z,,3599288,aa0408ddfa4b046e41ed856fffb01cb9,2020-07-21T11:55:26.146Z,5aa2d583cb4f0f7020b17ea0
1392,,,,,4938627.13,4905529.68,,2020-07-21T00:00:00.000Z,,1792038,4ec3d95bdf0ff6ec7fbd68a66aeed8f7,2020-07-21T11:55:26.508Z,5aa2d583cb4f0f7020b17ecf
1325,,,,,1354522.51,1343225.92,,2020-07-21T00:00:00.000Z,,98973,bd2e7c4fae5fc1981aa0e75f9fe530cb,2020-07-21T11:55:26.299Z,5aa2d583cb4f0f7020b17ea5
1417,,,,,1509686.69,125487.68,1336211.76,2020-07-21T00:00:00.000Z,,218629,f8afc222915c0b20e9199696cf49d358,2020-07-21T11:55:26.577Z,5aa2d583cb4f0f7020b17ed4
1350,,,,,2127262.15,22787.43,2097786.27,2020-07-21T00:00:00.000Z,,300092,3693e1f38308ccf027ff33c1a44c1223,2020-07-21T11:55:26.368Z,5aa2d583cb4f0f7020b17eaa
1303,,,,,5462529.93,1195275.68,4267254.25,2020-07-21T00:00:00.000Z,,1061424,1a58045c902e7719fe96f33aa40d2106,2020-07-21T11:55:26.148Z,5aa2d583cb4f0f7020b17ed9
1246,,,,,28957783.36,14984478.32,13973305.04,2020-07-21T00:00:00.000Z,,7197142,d6fd6ba9c8ac29c739c3c89b03a840c6,2020-07-21T11:55:48.111Z,5aa2d583cb4f0f7020b17eaf
1328,,,,,2551571.28,432319.67,2068700.53,2020-07-21T00:00:00.000Z,,888289,c06b18ba63902ee1cf4e9d32f5592800,2020-07-21T11:55:26.305Z,5aa2d583cb4f0f7020b17ede
1360,,,,,18209539.53,9579191.49,8903962.17,2020-07-21T00:00:00.000Z,,2730274,71f52bf4bf84d0e0b25b9235fd228bec,2020-07-21T11:55:26.378Z,5aa2d583cb4f0f7020b17eb4
1353,,,,,817522.69,49651.86,765362.51,2020-07-21T00:00:00.000Z,,104509,78b6e4b3277af6c4978a2867b0235b3b,2020-07-21T11:55:26.369Z,5aa2d583cb4f0f7020b17ee3
1385,,,,,970883.22,776691.84,187695.22,2020-07-21T00:00:00.000Z,,136965,29a0fa6a2f3ba321c3afe71696013572,2020-07-21T11:55:26.501Z,5aa2d583cb4f0f7020b17eb9
1307,,,,,1010652.61,397663.92,612988.69,2020-07-21T00:00:00.000Z,,111961,a2b648cdc105c40ea5ca3a6d1ef80ed6,2020-07-21T11:55:26.168Z,5aa2d583cb4f0f7020b17ebe
1332,,,,,10905227.4,1145655.2,9726224.29,2020-07-21T00:00:00.000Z,,3154896,d99204d772616f8c841a91311da4f6fa,2020-07-21T11:55:26.333Z,5aa2d583cb4f0f7020b17ec3
1357,,,,,4294159.44,2918003.52,1386461.64,2020-07-21T00:00:00.000Z,,351225,86c18b706aa04966e1b4d0fdeabd8583,2020-07-21T11:55:26.375Z,5aa2d583cb4f0f7020b17ec8
1382,,,,,1776446.25,475268.17,1329092.51,2020-07-21T00:00:00.000Z,,0,7321635180be463e0600d1fadc94e972,2020-07-21T11:55:26.468Z,5aa2d583cb4f0f7020b17ecd
1407,,,,,10952618.23,614423.27,10272253,2020-07-21T00:00:00.000Z,,2133460,316ad4999486c7936d7948f3a5470661,2020-07-21T11:55:26.521Z,5aa2d583cb4f0f7020b17ed2
1293,,,,,19890308.77,8206956.08,11605641.68,2020-07-21T00:00:00.000Z,,4034816,21d55787be005dbf20e2a957f8ab3176,2020-07-21T11:55:26.099Z,5aa2d583cb4f0f7020b17ed7
1375,,,,,5097818.74,480755.51,4573840.99,2020-07-21T00:00:00.000Z,,710833,0835040031aa40ec09e2302b35e8c68e,2020-07-21T11:55:26.456Z,5aa2d583cb4f0f7020b17eb7
1318,,,,,13588960.08,13193223.02,451699.92,2020-07-21T00:00:00.000Z,,1454376,a1eda6bb35b75bbdc6500d3b016c2bed,2020-07-21T11:55:26.198Z,5aa2d583cb4f0f7020b17edc
1297,,,,,3374929.57,413506.66,2970485.64,2020-07-21T00:00:00.000Z,,831368,af190630769df48f7816a46f8002483f,2020-07-21T11:55:26.177Z,5aa2d583cb4f0f7020b17ebc
1390,,,,,5935229.86,708833.51,5149869.54,2020-07-21T00:00:00.000Z,,914172,eae67bd0494322e9de3290a383070df7,2020-07-21T11:55:26.507Z,5aa2d583cb4f0f7020b17eba
1322,,,,,,,,,,305250,fddbfa427eebaacace85b0e25d5a2ff0,2020-06-02T13:22:16.377Z,5aa2d583cb4f0f7020b17ec1
1312,,,,,27368107.85,20690288.33,6631775.1,2020-07-21T00:00:00.000Z,,3453353,b4af24150d30b9b3dc6debaf295480d7,2020-07-21T11:55:26.184Z,5aa2d583cb4f0f7020b17ebf
1347,,,,,5616578.93,1514282.42,3706650.48,2020-07-21T00:00:00.000Z,,1343739,c458ab9def2bd9313d5eb7bd81f05c65,2020-07-21T11:55:26.358Z,5aa2d583cb4f0f7020b17ec6
1337,,,,,4697327.57,2066492.47,2599444.42,2020-07-21T00:00:00.000Z,,782081,b462a80e734ef66ca142d94444039508,2020-07-21T11:55:26.344Z,5aa2d583cb4f0f7020b17ec4
1372,,,,,5147725.26,1542430.72,3033129.15,2020-07-21T00:00:00.000Z,,310644,c88449c23e40a91243370675658b72ab,2020-07-21T11:55:26.453Z,5aa2d583cb4f0f7020b17ecb
1362,,,,,4786803.73,4111602.56,675201.17,2020-07-21T00:00:00.000Z,,106606,f27a9c3604af59d7fbc4cd89fc85fc65,2020-07-21T11:55:26.379Z,5aa2d583cb4f0f7020b17ec9
1397,,,,,2452457.07,53540.13,2138681.23,2020-07-21T00:00:00.000Z,,197626,97be163847049df8053b054cb4afa154,2020-07-21T11:55:26.515Z,5aa2d583cb4f0f7020b17ed0
1387,,,,,3692932.67,356138.9,3187341.86,2020-07-21T00:00:00.000Z,,659897,e5abb119827a69e1df1cf70f1a5eb9c6,2020-07-21T11:55:26.504Z,5aa2d583cb4f0f7020b17ece
1422,,,,,1238463.33,736982.53,240606.03,2020-07-21T00:00:00.000Z,,831698,6bd6021c512c0188d944d2dadcd29e15,2020-07-21T11:55:26.583Z,5aa2d583cb4f0f7020b17ed5
1412,,,,,35299777.93,1386209.24,33708365.51,2020-07-21T00:00:00.000Z,,4988421,64f041784bb56339390a94e441765dc1,2020-07-21T11:55:26.534Z,5aa2d583cb4f0f7020b17ed3
1308,,,,,920741.26,21376.49,880889.25,2020-07-21T00:00:00.000Z,,136145,67253546af8732bf0f9c2a3bceddbcd5,2020-07-21T11:55:26.179Z,5aa2d583cb4f0f7020b17eda
1298,,,,,,,,,,195648,93a38b8d6328aa6a8fcbd0172869cc91,2020-06-02T13:22:16.345Z,5aa2d583cb4f0f7020b17ed8
1333,,,,,11738303.73,3906085.02,7676010.71,2020-07-21T00:00:00.000Z,,4661056,8978d50e4fb1055db6f415a8e577f435,2020-07-21T11:55:26.336Z,5aa2d583cb4f0f7020b17edf
1323,,,,,3773011.29,2434987.46,1282012.04,2020-07-21T00:00:00.000Z,,556864,24a9774386f6c9259a93388f5f692075,2020-07-21T11:55:26.301Z,5aa2d583cb4f0f7020b17edd
1358,,,,,727798.23,9329.08,703570.79,2020-07-21T00:00:00.000Z,,103931,f0863fb4692dcf0d57024879be8a8d81,2020-07-21T11:55:26.373Z,5aa2d583cb4f0f7020b17ee4
1348,,,,,4128414.91,564631.82,3220924.98,2020-07-21T00:00:00.000Z,,1154842,87d4f18f90b50e00546713d2fdadf956,2020-07-21T11:55:26.361Z,5aa2d583cb4f0f7020b17ee2
1343,,,,,3340810.2,642795.32,2670809.27,2020-07-21T00:00:00.000Z,,346748,7a5d10d55fe3486e50680dd260a904dc,2020-07-21T11:55:26.352Z,5aa2d583cb4f0f7020b17ee1
1368,,,,,5964308.99,2663455.38,3341706.39,2020-07-21T00:00:00.000Z,,521140,747607cd011846c99d702b325a9f0234,2020-07-21T11:55:26.386Z,5aa2d583cb4f0f7020b17ee6
1395,,,,,1146338.86,516406.83,493589.53,2020-07-21T00:00:00.000Z,,244547,c0c85dae1e7d27183e29977b71adae8a,2020-07-21T11:55:26.513Z,5aa2d583cb4f0f7020b17ee7
1405,,,,,4796806.64,1194355.67,3609871.51,2020-07-21T00:00:00.000Z,,752279,f58d70a9eab2b044881ef8441a15b32c,2020-07-21T11:55:26.528Z,5aa2d583cb4f0f7020b17ee9
1420,,,,,5581544.94,561438.53,4781884.9,2020-07-21T00:00:00.000Z,,1122434,801780dccb14420fb06ebcb2ed9c1cd8,2020-07-21T11:55:26.581Z,5aa2d583cb4f0f7020b17eec
1430,,,,,734518.39,202508.57,295399.76,2020-07-21T00:00:00.000Z,,105972,2ed68fcfcd9b099f67de55ca3a17fd70,2020-07-21T11:55:26.593Z,5aa2d583cb4f0f7020b17eee
1378,,,,,27714640.97,9528257.44,18283828.51,2020-07-21T00:00:00.000Z,,11061441,2500777141bfc73d76bb3e23f0145512,2020-07-21T11:55:26.464Z,5aa2d583cb4f0f7020b17ef1
1388,,,,,11677354.07,457515.74,11164447.48,2020-07-21T00:00:00.000Z,,2023999,451065c959af982a3a85ebaad70b31d0,2020-07-21T11:55:26.505Z,5aa2d583cb4f0f7020b17ef3
1403,,,,,43824367.31,34013640.27,9715546.9,2020-07-21T00:00:00.000Z,,6709061,a0d6d869aa8808215ba74bb9d00cd10c,2020-07-21T11:55:26.526Z,5aa2d583cb4f0f7020b17ef6
1413,,,,,4906653.82,415565.69,4321699.99,2020-07-21T00:00:00.000Z,,771719,2ac15bb2598916e1c80532f98ba1e801,2020-07-21T11:55:26.538Z,5aa2d583cb4f0f7020b17ef8
1428,,,,,1788583.65,44429.26,1744454.58,2020-07-21T00:00:00.000Z,,237017,84d79f355ab55b131d8f3ac95cb86fec,2020-07-21T11:55:26.591Z,5aa2d583cb4f0f7020b17efb
1438,,,,,2745985.95,1232950.3,1488362.08,2020-07-21T00:00:00.000Z,,716877,3d728a0b6475ed2a40e8fae516f9ea06,2020-07-21T11:55:26.622Z,5aa2d583cb4f0f7020b17efd
1400,,,,,2225170.96,85726.8,2165746.79,2020-07-21T00:00:00.000Z,,105414,ac89015e5541a2cd49b0391678127bc8,2020-07-21T11:55:26.517Z,5aa2d583cb4f0f7020b17ee8
1274,,,,,1525086.7,1060865.15,587622.94,2020-07-21T00:00:00.000Z,,778869,4fa351f62544d76c01ce6581fbe33934,2020-07-21T11:55:26.094Z,5aa2d583cb4f0f7020b17f02
1425,,,,,27960004.15,3632120.14,23910060.19,2020-07-21T00:00:00.000Z,,10058379,f99a64195535a4fc19d8c0b3367db09a,2020-07-21T11:55:26.586Z,5aa2d583cb4f0f7020b17eed
1299,,,,,20544924.45,13046343.17,7178637.83,2020-07-21T00:00:00.000Z,,6074584,49d1d93dc3a56b973c94c134cdabb394,2020-07-21T11:55:26.150Z,5aa2d583cb4f0f7020b17f07
1383,,,,,6689724.02,777194.42,5803267.17,2020-07-21T00:00:00.000Z,,1800672,b73be56e21c101207aa0b0043f38c65e,2020-07-21T11:55:26.471Z,5aa2d583cb4f0f7020b17ef2
1324,,,,,10907868.92,10902315.84,-40533.34,2020-07-21T00:00:00.000Z,,1613748,03ffc617340097b20227adcc08e770f0,2020-07-21T11:55:26.291Z,5aa2d583cb4f0f7020b17f0c
1349,,,,,2838615.94,94167.46,2564548.23,2020-07-21T00:00:00.000Z,,538400,182523ea23fc078c20847a182bb1083c,2020-07-21T11:55:26.362Z,5aa2d583cb4f0f7020b17f11
1408,,,,,7698001.21,386876.08,7231737.88,2020-07-21T00:00:00.000Z,,1252681,a15fe77dcf957dbb3355196a16af761d,2020-07-21T11:55:26.524Z,5aa2d583cb4f0f7020b17ef7
1374,,,,,4621871.5,30085.44,4645199.75,2020-07-21T00:00:00.000Z,,492411,b3f0c36886e8f5bd6c37aff7e9e8c4a9,2020-07-21T11:55:26.455Z,5aa2d583cb4f0f7020b17f16
1433,,,,,3579584.09,2860877.17,752887.3,2020-07-21T00:00:00.000Z,,624820,49ef48ab4847e33c461670bd9b6040b0,2020-07-21T11:55:26.596Z,5aa2d583cb4f0f7020b17efc
1399,,,,,2343447.82,1538493.06,804954.76,2020-07-21T00:00:00.000Z,,484316,7f9412ba0a4d820836db7cd525e29a2b,2020-07-21T11:55:26.516Z,5aa2d583cb4f0f7020b17f1b
1269,,,,,1737569.4,898066.5,810242.78,2020-07-21T00:00:00.000Z,,1037030,33c01ed3ff4ed9e1b6566040ff9fbf70,2020-07-21T11:55:26.047Z,5aa2d583cb4f0f7020b17f01
1281,,,,,4736115,429615.84,4190877.14,2020-07-21T00:00:00.000Z,,704930,64f3831fde9318f355cadb175cf83980,2020-07-21T11:55:26.084Z,5aa2d583cb4f0f7020b17f20
1294,,,,,10347269.34,4079425.04,5840828.95,2020-07-21T00:00:00.000Z,,4277685,6364519c2bb5fdaff5a9bb20ff1378d4,2020-07-21T11:55:26.137Z,5aa2d583cb4f0f7020b17f06
1306,,,,,106261560.28,32644798.12,72246572.61,2020-07-21T00:00:00.000Z,,21423043,d4b698032537654f875f3f3284fa9a54,2020-07-21T11:55:26.149Z,5aa2d583cb4f0f7020b17f25
1319,,,,,5134082.94,329668.71,4780114.36,2020-07-21T00:00:00.000Z,,1289906,fdefaa7727d2b3022bdaf38645d65de0,2020-07-21T11:55:26.200Z,5aa2d583cb4f0f7020b17f0b
1331,,,,,3700015.29,1268492.29,2364988.67,2020-07-21T00:00:00.000Z,,449273,f7a0e45bc33bcae5be83d2e6cd442c10,2020-07-21T11:55:26.331Z,5aa2d583cb4f0f7020b17f2a
1344,,,,,18565928.96,527841.99,17408770.89,2020-07-21T00:00:00.000Z,,1922332,d5ec594bcc65e9b1c5c3cad604d0696a,2020-07-21T11:55:26.353Z,5aa2d583cb4f0f7020b17f10
1356,,,,,39711803.79,24308976.34,15313037.01,2020-07-21T00:00:00.000Z,,4438038,71e5980bce9a094b1b1921b7ce0517a9,2020-07-21T11:55:26.370Z,5aa2d583cb4f0f7020b17f2f
1369,,,,,19743137.17,11692409.39,8072012.75,2020-07-21T00:00:00.000Z,,3344251,088f9aded5fd08916c673f7f8a69e8e8,2020-07-21T11:55:26.389Z,5aa2d583cb4f0f7020b17f15
1381,,,,,14683135.02,2171960.59,11970103.49,2020-07-21T00:00:00.000Z,,4038077,1e380cd15dde52ceea37ed65464d7bb7,2020-07-21T11:55:26.467Z,5aa2d583cb4f0f7020b17f34
