disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5182,,,,,14956.77,11769.35,,2020-07-21T00:00:00.000Z,,2083699.5,6fca825dc781034b5d8ab57d7e1013a0,2020-07-21T11:55:32.524Z,5aa2d588cb4f0f7020b188b5
5207,,,,,,,,,,0,d90c7d9834fe92eabd5eec3ce40a131f,2020-06-02T13:22:22.549Z,5aa2d588cb4f0f7020b188ba
5035,,,,,10455.91,10455.91,,2020-07-21T00:00:00.000Z,,0,cdffec0cbabeab0ba5fe2dfc2705a651,2020-07-21T11:55:32.285Z,5aa2d588cb4f0f7020b188bf
5060,,,,,2498698.87,4801.23,,2020-07-21T00:00:00.000Z,,0,ad5f5897e5dfa09b9bfc48cd9de0b8c9,2020-07-21T11:55:32.315Z,5aa2d588cb4f0f7020b188c4
5085,,,,,521457.25,7021.23,,2020-07-21T00:00:00.000Z,,0,56af223f40bd15341f87f8a80d828b30,2020-07-21T11:55:32.359Z,5aa2d588cb4f0f7020b188c9
5110,,,,,30961.05,3408.03,,2020-07-21T00:00:00.000Z,,16194,c6ca099834cd52d06443d0358f4d0116,2020-07-21T11:55:32.385Z,5aa2d588cb4f0f7020b188ce
5135,,,,,5128125.48,806387.54,,2020-07-21T00:00:00.000Z,,0,40dec04ba678e8899e6d4b52e25f4053,2020-07-21T11:55:32.450Z,5aa2d588cb4f0f7020b188d3
5113,,,,,0,,,2020-07-21T00:00:00.000Z,,52480,45748c9cdba2ed883f5ba284090815ee,2020-07-21T11:55:32.388Z,5aa2d588cb4f0f7020b188e4
5053,,,,,,,,,,0,8b2b8281a834c5621fe744b80a83b489,2020-06-02T13:22:22.252Z,5aa2d588cb4f0f7020b188d8
5134,,,,,850539.46,2872.43,,2020-07-21T00:00:00.000Z,,0,e4c4c7787957f3212294ea9ced55a8fd,2020-07-21T11:55:32.449Z,5aa2d588cb4f0f7020b188e9
5078,,,,,3440106.91,72265.71,,2020-07-21T00:00:00.000Z,,0,7b8e1ac7861a8f37af47b69fd3436e74,2020-07-21T11:55:32.328Z,5aa2d588cb4f0f7020b188dd
5159,,,,,1284186.13,,,2020-07-21T00:00:00.000Z,,1095788,f95570ec5f04e2ad3dfb5162f57e400f,2020-07-21T11:55:32.469Z,5aa2d588cb4f0f7020b188ee
5103,,,,,41282.4,6254.92,,2020-07-21T00:00:00.000Z,,52481,1b6207daae26f31aa5b2341e972e29f2,2020-07-21T11:55:32.389Z,5aa2d588cb4f0f7020b188e2
5151,,,,,15046.5,0,,2020-07-21T00:00:00.000Z,,0,72edee632b9e17f06149cc8bb0e70a5b,2020-07-21T11:55:32.463Z,5aa2d588cb4f0f7020b188f3
5128,,,,,14313400.99,335447.17,,2020-07-21T00:00:00.000Z,,0,805ecfebb4a62188faebabe82818a344,2020-07-21T11:55:32.434Z,5aa2d588cb4f0f7020b188e7
5149,,,,,6002,1563.34,,2020-07-21T00:00:00.000Z,,0,b41bb5d0866e879b16e7610fb4b9db12,2020-07-21T11:55:32.456Z,5aa2d588cb4f0f7020b188ec
5141,,,,,423056.57,,,2020-07-21T00:00:00.000Z,,0,66f3582de30f450f474805446ff96175,2020-07-21T11:55:32.455Z,5aa2d588cb4f0f7020b188f1
5102,,,,,2803804.2,26485.11,,2020-07-21T00:00:00.000Z,,87157,b0402c3dec4e7b62b679172c02564287,2020-07-21T11:55:32.384Z,5aa2d588cb4f0f7020b188a5
5127,,,,,5905956.47,157086.98,,2020-07-21T00:00:00.000Z,,0,739d0baeea6dd711a7611d96abd01a78,2020-07-21T11:55:32.433Z,5aa2d588cb4f0f7020b188aa
5152,,,,,35861.7,32989.23,,2020-07-21T00:00:00.000Z,,0,8d318e23b5ad1fabadc244bf412bb941,2020-07-21T11:55:32.464Z,5aa2d588cb4f0f7020b188af
5058,,,,,836129.26,5704.24,,2020-07-21T00:00:00.000Z,,0,7ff82a51a55edca0db7683047a7ecf8e,2020-07-21T11:55:32.313Z,5aa2d588cb4f0f7020b188d9
5177,,,,,715790.21,,,2020-07-21T00:00:00.000Z,,0,f298ce9650944c6f9c26cc6aae339786,2020-07-21T11:55:32.507Z,5aa2d588cb4f0f7020b188b4
5202,,,,,2568521.54,336638.23,,2020-07-21T00:00:00.000Z,,0,bce829b14faaab739d01580bff6f03a3,2020-07-21T11:55:32.533Z,5aa2d588cb4f0f7020b188b9
5083,,,,,1125000.01,,,2020-07-21T00:00:00.000Z,,0,3681f8b0713af8602a21e87d19ad3e24,2020-07-21T11:55:32.358Z,5aa2d588cb4f0f7020b188de
5227,,,,,1819442.27,535266.56,,2020-07-21T00:00:00.000Z,,0,f83e64c0afeb47efa374126fe6dca31b,2020-07-21T11:55:32.599Z,5aa2d588cb4f0f7020b188be
5108,,,,,0,,,2020-07-21T00:00:00.000Z,,52480,13844b159c298142b3b7358cf1969346,2020-07-21T11:55:32.395Z,5aa2d588cb4f0f7020b188e3
5055,,,,,9288969.03,907470.7,,2020-07-21T00:00:00.000Z,,0,8bf6342ecfd0a3c1e754095177577fe0,2020-07-21T11:55:32.312Z,5aa2d588cb4f0f7020b188c3
5133,,,,,2225192.99,,,2020-07-21T00:00:00.000Z,,0,a1eb50a8e0c1848870192d559c233816,2020-07-21T11:55:32.448Z,5aa2d588cb4f0f7020b188e8
5080,,,,,1334447.91,22126.56,,2020-07-21T00:00:00.000Z,,0,24eb78ac060e7bef1c46093aeb9abe04,2020-07-21T11:55:32.355Z,5aa2d588cb4f0f7020b188c8
